1-NZ3801-AB 芯片简介 - V1.3.pdf,[1-NZ3801-AB 芯片简介 - V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
2-NZ8801芯片规格说明书V1.0.pdf,[2-NZ8801芯片规格说明书V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32A455 Series Datasheet V0.9.2.pdf,[CN_DS_N32A455 Series Datasheet V0.9.2.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32G003 Series Datasheet V1.0.pdf,[CN_DS_N32G003 Series Datasheet V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32G401F8S7-1 Series Datasheet V1.0.pdf,[CN_DS_N32G401F8S7-1 Series Datasheet V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32G430 Series Datasheet V1.3.0.pdf,[CN_DS_N32G430 Series Datasheet V1.3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32G432 Series Datasheet_V1.3.pdf,[CN_DS_N32G432 Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32G435 Series Datasheet_V1.3.pdf,[CN_DS_N32G435 Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32L40x Series Datasheet_V1.3.pdf,[CN_DS_N32L40x Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_DS_N32L43x Series Datasheet_V1.3.pdf,[CN_DS_N32L43x Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G030系列数据手册V1.5.pdf,[DS_N32G030系列数据手册V1.5.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G031系列数据手册V1.2.pdf,[DS_N32G031系列数据手册V1.2.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G032系列数据手册V2.2.pdf,[DS_N32G032系列数据手册V2.2.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G452系列数据手册V2.1.pdf,[DS_N32G452系列数据手册V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G455系列数据手册V2.1.pdf,[DS_N32G455系列数据手册V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G457系列数据手册V2.1.pdf,[DS_N32G457系列数据手册V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G4FR系列数据手册V2.1.pdf,[DS_N32G4FR系列数据手册V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32WB03x Series Datasheet V1.3_CN.pdf,[DS_N32WB03x Series Datasheet V1.3_CN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32WB452系列数据手册V2.1.pdf,[DS_N32WB452系列数据手册V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
N32S032 product brief v1.2_CN.pdf,[N32S032 product brief v1.2_CN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
NWF580产品简介V2.1.pdf,[NWF580产品简介V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
NZ3802-AB Product Brief - V1.0.pdf,[NZ3802-AB Product Brief - V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
Z32HCD2(S) product brief_CN .pdf,[Z32HCD2(S) product brief_CN .pdf](https://genesere.github.io/files/NSDocs/CN_DS)
Z32HUA product brief V3.0_CN.pdf,[Z32HUA product brief V3.0_CN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
Z32HUB product brief_CN .pdf,[Z32HUB product brief_CN .pdf](https://genesere.github.io/files/NSDocs/CN_DS)
Z8D16R-2 product brief  V1.0_CN.pdf,[Z8D16R-2 product brief  V1.0_CN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
Z8IDA product brief V1.1.5_CN.pdf,[Z8IDA product brief V1.1.5_CN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
3-NZ8801H芯片用户手册.pdf,[3-NZ8801H芯片用户手册.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_UM_N32A455 Series User Manual V0.9.pdf,[CN_UM_N32A455 Series User Manual V0.9.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_UM_N32G003 Series User Manual V1.0.pdf,[CN_UM_N32G003 Series User Manual V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_UM_N32G401F8S7-1 Series User Manual V1.0.pdf,[CN_UM_N32G401F8S7-1 Series User Manual V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_UM_N32G430 Series User Manual V1.2.1.pdf,[CN_UM_N32G430 Series User Manual V1.2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_UM_N32G43x Series User Manual_V2.1.pdf,[CN_UM_N32G43x Series User Manual_V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_UM_N32L40x Series User Manual_V2.1.pdf,[CN_UM_N32L40x Series User Manual_V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
CN_UM_N32L43x Series User Manual_V2.1.pdf,[CN_UM_N32L43x Series User Manual_V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
N32G4FRx系列智能门锁方案用户手册V1.1.pdf,[N32G4FRx系列智能门锁方案用户手册V1.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
N32WB45x系列智能门锁方案用户手册V1.0.pdf,[N32WB45x系列智能门锁方案用户手册V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
NWF580用户手册_V2.3.pdf,[NWF580用户手册_V2.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
NZ3802-AB User Guide - V1.1.pdf,[NZ3802-AB User Guide - V1.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G030系列用户手册V2.1.pdf,[UM_N32G030系列用户手册V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G031系列用户手册V2.1.pdf,[UM_N32G031系列用户手册V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G032系列用户手册V2.2.pdf,[UM_N32G032系列用户手册V2.2.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G45x系列用户手册V3.0.pdf,[UM_N32G45x系列用户手册V3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G4FR系列用户手册V3.0.pdf,[UM_N32G4FR系列用户手册V3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32WB03X Series User Manual V1.3_CN.pdf,[UM_N32WB03X Series User Manual V1.3_CN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32WB452系列用户手册V3.0.pdf,[UM_N32WB452系列用户手册V3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_无磁LC方案用户手册.pdf,[UM_无磁LC方案用户手册.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
2-NZ3801-AB Datasheet - V1.3 (NZ).pdf,[2-NZ3801-AB Datasheet - V1.3 (NZ).pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G030 Series Datasheet V1.5.pdf,[DS_N32G030 Series Datasheet V1.5.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G031 Series Datasheet V1.2.pdf,[DS_N32G031 Series Datasheet V1.2.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G452 Series Datasheet V2.1.pdf,[DS_N32G452 Series Datasheet V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G455 Series Datasheet V2.1.pdf,[DS_N32G455 Series Datasheet V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G457 Series Datasheet V2.1.pdf,[DS_N32G457 Series Datasheet V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32G4FR Series Datasheet V2.1.pdf,[DS_N32G4FR Series Datasheet V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32WB03x Series Datasheet V1.3_EN.pdf,[DS_N32WB03x Series Datasheet V1.3_EN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
DS_N32WB452 Series Datasheet V2.1.pdf,[DS_N32WB452 Series Datasheet V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_DS_N32G003 Series Datasheet V1.0.pdf,[EN_DS_N32G003 Series Datasheet V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_DS_N32G401F8S7-1 Series Datasheet V1.0.pdf,[EN_DS_N32G401F8S7-1 Series Datasheet V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_DS_N32G430 Series Datasheet V1.3.0.pdf,[EN_DS_N32G430 Series Datasheet V1.3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_DS_N32G432 Series Datasheet_V1.3.pdf,[EN_DS_N32G432 Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_DS_N32G435 Series Datasheet_V1.3.pdf,[EN_DS_N32G435 Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_DS_N32L40x Series Datasheet_V1.3.pdf,[EN_DS_N32L40x Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_DS_N32L43x Series Datasheet_V1.3.pdf,[EN_DS_N32L43x Series Datasheet_V1.3.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_UM_N32G003 Series User Manual V1.0.pdf,[EN_UM_N32G003 Series User Manual V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_UM_N32G401F8S7-1 Series User Manual V1.0.pdf,[EN_UM_N32G401F8S7-1 Series User Manual V1.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_UM_N32G430 Series User Manual V1.2.1.pdf,[EN_UM_N32G430 Series User Manual V1.2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_UM_N32G43x Series User Manual_V2.1.pdf,[EN_UM_N32G43x Series User Manual_V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_UM_N32L40x Series User Manual_V2.1.pdf,[EN_UM_N32L40x Series User Manual_V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
EN_UM_N32L43x Series User Manual_V2.1.pdf,[EN_UM_N32L43x Series User Manual_V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G030 Series User Manual V2.1.pdf,[UM_N32G030 Series User Manual V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G031 Series User Manual V2.1.pdf,[UM_N32G031 Series User Manual V2.1.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G45x Series User Manual V3.0.pdf,[UM_N32G45x Series User Manual V3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32G4FR Series User Manual V3.0.pdf,[UM_N32G4FR Series User Manual V3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32WB03X Series User Manual V1.3_EN.pdf,[UM_N32WB03X Series User Manual V1.3_EN.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
UM_N32WB452 Series User Manual V3.0.pdf,[UM_N32WB452 Series User Manual V3.0.pdf](https://genesere.github.io/files/NSDocs/CN_DS)
